Run!	Chạy!
They were so frightened that they couldn't move an inch.	Bọn họ sợ tới nỗi không làm gì được.
They were so frightened that they couldn't move an inch.	Bọn họ sợ đến mức không làm gì được.
Tom and Mary walked out of the room, leaving John alone.	Tom và Mary bước ra khỏi phòng, để lại John một mình.
Tom doesn't have to talk about it if he doesn't want to.	Tom không phải nói về điều đó nếu anh ta không muốn.
Tom doesn't know if Mary will go camping with us or not.	Tom không biết liệu Mary có đi cắm trại với bọn tôi hay không.
Tom said something crude about the way Mary was dressed.	Tom nói điều gì đó thô thiển về cách ăn mặc của Mary.
Tom said that he knew where Mary learned how to do that.	Tom nói là anh ấy biết Mary đã học cách làm điều đó ở đâu.
Tom started playing golf when he was thirteen years old.	Tom bắt đầu chơi gôn lúc anh ta 13 tuổi.
Tom started playing golf when he was thirteen years old.	Tom đã bắt đầu chơi gôn lúc ông ta 13 tuổi.
Tom started playing golf when he was thirteen years old.	Tom đã bắt đầu chơi gôn lúc cậu ta 13 tuổi.
Everybody except Tom knew he didn't need to go to Boston.	Ai cũng biết là Tom không cần phải đi đến Boston, ngoại trừ Tom.
Everyone would like to believe that dreams can come true.	Ai cũng muốn tin rằng mọi giấc mơ đều có thể trở thành hiện thực.
He is in the habit of reading the newspaper during meals.	Anh ấy có thói quen vừa ăn vừa đọc báo.
He is in the habit of reading the newspaper while eating.	Anh ấy có thói quen vừa ăn vừa đọc báo.
He never takes into account the fact that I am very busy.	Anh ta không bao giờ để tâm việc tôi bận ra sao.
How tall do you think my daughter will be in three years?	Bạn nghĩ là trong ba năm tới con gái tôi sẽ cao đến đâu?
I didn't hear you clearly. Would you please say it again?	Tôi nghe không rõ, làm ơn lặp lại.
I don't enjoy studying because I don't make any progress.	Tôi không thấy việc học có gì vui, vì tôi không thấy mình giỏi lên chút nào.
I don't want to live in Boston for more than three years.	Tôi không muốn sống ở Boston nhiều hơn 3 năm.
I feel like talking a walk. Would you like to come along?	Tớ muốn đi bộ, cậu có đi với tớ không?
I think that we're getting close to solving this mystery.	Tôi nghĩ rằng chúng ta đang tiến gần đến giải quyết bí ẩn này.
I'm beginning to suspect that that isn't going to happen.	Tôi đang bắt đầu nghi ngờ là chuyện đó sẽ không xảy ra.
My parents are away on a trip and I'm alone in our house.	Bố mẹ tôi đang đi xa còn tôi thì ở nhà một mình.
My parents are away on a trip and I'm alone in our house.	Cha mẹ tôi đang đi xa, còn tôi thì ở nhà một mình.
No matter how hard you try, you can't finish it in a day.	Cho dù bạn có cố gắng thế nào đi chăng nữa, thì bạn cũng không thể làm xong việc đó trong một ngày được đâu.
People used to think that only humans could use language.	Mọi người thường nghĩ rằng chỉ có con người mới có thể sử dụng ngôn nghĩ.
The amount of carbon dioxide has increased by 10 percent.	Lượng khí CO2 đã tăng 10 phần trăm.
The amount of carbon dioxide has increased by 10 percent.	Lượng khí các-bon đi-ô-xít đã tăng 10%.
The date of the festival coincides with that of the exam.	Ngày diễn ra lễ hội trùng với ngày diễn ra kỳ thi.
The fire department is located right next to the airport.	Trạm cứu hỏa ở ngay bên cạnh sân bay.
There are various reasons why a house may be left vacant.	Có rất nhiều lý do để giải thích vì sao một căn nhà bị bỏ trống.
There will be an economic crisis at the end of this year.	Sẽ có một đợt khủng hoảng kinh tế vào cuối năm nay.
Tom is probably going to tell Mary he intends to do that.	Tom có lẽ sẽ nói với Mary anh ấy có ý định làm điều đó.
Tom said that he thought that he had forgotten something.	Tom nói là anh ấy có cảm giác mình đã quên một điều gì đó.
Tom swept the kitchen floor while Mary washed the dishes.	Lúc đó, Tom quét sàn phòng bếp trong khi Mary rửa bát.
Tom teaches history at the high school across the street.	Tom dạy lịch sử ở trường trung học phía bên kia đường.
Tom told me Mary said she didn't want to do that anymore.	Tom nói với tôi rằng Mary nói là cô ấy không muốn làm việc đó nữa.
Tom took off Mary's glasses and they kissed passionately.	Tom tháo kính khỏi gương mặt Mary và hai người trao nhau nụ hôn mãnh liệt.
We'd better get ready early because the train won't wait.	Tốt hơn là mình nên nhanh chóng chuẩn bị cho xong vì mưa không đợi ai đâu.
You're probably too young to understand what's happening.	Có lẽ bạn quá trẻ để hiểu được chuyện gì đang xảy ra.
46 million Americans lived under the poverty line in 2010.	46 triệu người Mỹ sống dưới ngưỡng nghèo trong năm 2010.
Be careful not to drive the wrong way on a one-way street.	Cẩn thận đừng chạy ngược chiều khi lưu thông trên đường một chiều.
Could you be quiet? I have to get up early and go to work.	Em giữ yên lặng được không? Mai anh phải dậy đi làm sớm.
Don't feel sorry for yourself. We're all in the same boat.	Đừng tủi thân. Chúng ta cùng chung cảnh ngộ mà.
From here to the train station takes half an hour on foot.	Đi bộ từ đây đến nhà ga mất nửa tiếng.
I could tell you all the details if you want to know them.	Tôi có thể kể cho cậu mọi chi tiết nếu cậu muốn biết về chúng.
I don't care where we eat dinner. It's entirely up to you.	Ăn tối ở đâu cũng được, tùy bạn thôi.
I dropped by the bookstore and bought an interesting book.	Tôi ghé qua hiệu sách và mua một cuốn sách thú vị.
I know that I didn't have to do that, but I did it anyway.	Tôi biết rằng tôi không cần phải làm điều đó, nhưng dù sao tôi đã làm
I still think that Tom doesn't understand what's going on.	Tôi vẫn nghĩ là Tom không hiểu chuyện gì đang xảy ra.
I still think that Tom doesn't understand what's going on.	Tôi vẫn cho rằng Tom không hiểu chuyện gì đang xảy ra.
I think Tom didn't go jogging yesterday, but I'm not sure.	Tôi nghĩ là hôm qua Tom không đi chạy bộ, nhưng mà tôi không chắc.
I think we need to find out who Tom plans to give that to.	Tôi nghĩ chúng ta cần phải tìm ra là Tom định đưa cái đó cho ai.
I think we need to find out who Tom plans to give that to.	Tôi nghĩ là chúng ta cần phải tìm cho ra là Tom định đưa nó cho ai.
I thought Tom would plant those flowers near the oak tree.	Tôi đã nghĩ là Tom sẽ trồng những cây hóa đó gần cây sồi.
I'd like to spend less time at work and more time at home.	Tôi muốn dành ít thời gian làm việc và dành nhiều thời gian ở nhà hơn.
I'll have to take over my father's business in the future.	Tôi sẽ phải tiếp quản công việc của bố trong tương lai.
If you're going to pull weeds, pull them out by the roots.	Nhổ cỏ thì phải nhổ tận gốc.
In Singapore, one way to punish criminals is to whip them.	Tại Singapre, có môt cách để trừng phạt tội phạm là đánh đòn.
In Singapore, one way to punish criminals is to whip them.	Ở Singapore, đánh bằng roi là một hình thức trừng phạt.
Is that the man whose wife was killed in the car accident?	Đó có phải là người đã mất vợ trong vụ tai nạn ô tô đó không?
Is that the man whose wife was killed in the car accident?	Đó có phải là người đàn ông đã mất vợ trong vụ tai nạn đó không?
It was the hungry bears that the villagers were afraid of.	Nó chính là con gấu đói mà dân làng sợ hãi.
Make sure that the lights are turned off before you leave.	Hãy chắc chắn rằng đèn được tắt sau khi bạn rời đi.
Mary laid her head on Tom's shoulder and soon fell asleep.	Mary tựa đầu vào vai Tom rồi ngay lập tức ngủ thiếp đi.
My grandmother was gradually becoming forgetful and frail.	Bà tôi dần dần trở nên hay quên và yếu hơn.
My kid is shy around strangers and always hides behind me.	Con nhà tôi rất sợ người lạ, nên lúc nào cũng trốn sau lưng tôi thôi.
My kid is shy around strangers and always hides behind me.	Cháu nhà tôi sợ người lạ lắm, nên lúc nào cũng trốn sau lưng tôi thôi.
Parents who beat their children really make my blood boil.	Cha mẹ mà đánh con cái làm tôi giận sôi máu.
Please note that we have quoted the lowest possible price.	Xin chú ý rằng chúng tôi đã đưa ra mức giá thấp nhất rồi.
She has two cats. One is white and the other one is black.	Cô ấy có hai con mèo. Một con thì trắng và con kia thì đen.
The blind nurse devoted herself to caring for the elderly.	Người y tá mù cống hiến đời mình cho việc chăm sóc những người già.
The police seized a large quantity of drugs at the school.	Cảnh sát tịch thu một lượng lớn ma túy ở ngôi trường.
The view from the top of the mountain took my breath away.	Cảnh từ trên đỉnh núi khiến tôi phải nín thở.
There are three students with the same name in that class.	Trong lớp đó có ba học sinh trùng tên nhau.
There is only space for thirty students in this classroom.	Phòng học này chỉ đủ chỗ cho 30 học sinh.
There is only space for thirty students in this classroom.	Chỉ có đủ không gian cho 30 học sinh trong phòng học này.
There was nothing but water as far as the eye could reach.	Không có gì ngoài nước khi nhìn hết tầm mắt.
Tom doesn't know when Mary is planning on going to Boston.	Tom không biết Mary định khi nào sẽ đi đến Boston.
Tom doesn't know when Mary is planning on going to Boston.	Tom không biết là Mary định khi nào sẽ đi đến Boston.
Tom is so stressed at the moment, he can't think straight.	Bây giờ Tom cảm thấy rất căng thẳng, anh ấy không thể nào nghĩ thông suốt được.
Tom needs to talk to someone who's able to understand him.	Tom cần nói chuyện với một người nào đó có thể hiểu được anh ta.
Tom told me that he didn't want to come home empty-handed.	Tôm bảo tôi rằng anh ta không muốn về nhà tay không.
When you skateboard, it puts quite a strain on your knees.	Khi bạn trượt ván, lực sẽ đè mạnh lên đầu gối của bạn.
Years ago, she used to hang around with a bunch of bikers.	Vài năm trước, cô ta từng chơi với một đám lái mô-tô.
A budget deficit will occur because of a revenue shortfall.	Thâm hụt ngân sách sẽ xảy ra do sự sụ giảm doanh thu.
As soon as he arrived at the airport, he phoned his office.	Khi đến sân bay, anh ấy đã ngay lập tức gọi điện thoại cho công ty.
As soon as he arrived at the airport, he phoned his office.	Khi đến sân bay, thì ngay lập tức ông ấy đã gọi điện thoại cho công ty.
Because of the storm, we had no choice but to stay at home.	Vì cơn bão nên chúng tôi đành phải ở nhà.
Currently I am putting effort into expanding my vocabulary.	Mình đang cố gắng mở rộng vốn từ.
Did you hear that the position for manager is up for grabs?	Bạn có nghe nói vị trí trưởng phòng còn trống không?
I can't be sure, but I think Tom wants to go out with Mary.	Tôi không chắc lắm, cơ mà tôi nghĩ Tom muốn hẹn hò với Mary.
I can't be sure, but I think Tom wants to go out with Mary.	Tôi không chắc chắn lắm, nhưng tôi nghĩ là Tom muốn hẹn hò với Mary.
I didn't know I was adopted until I was thirteen years old.	Tôi đã không biết mình là con nuôi cho đến khi 13 tuổi.
I slept a little during lunch break because I was so tired.	Vào giờ nghỉ trưa, vì quá mệt nên tôi đã chợp mắt một chút.
I tried to leave early, but people kept asking me for help.	Tôi cố về sớm rồi mà mọi người cứ nhờ tôi giúp mãi thôi.
I'll be living in Australia with my grandparents next year.	Năm sau tôi sẽ sống ở Úc cùng với ông bà tôi.
No matter how much I think about it, I don't understand it.	Cho dù có cố suy nghĩ thế nào đi nữa thì tôi vẫn không thể hiểu được chuyện này.
Our mother had no choice but to make dinner with leftovers.	Mẹ chúng tôi không còn cách nào khác phải làm bữa tối với phần thức ăn thừa.
Press the green button. If you do so, the light will go on.	Hãy bấm nút màu xanh lá cây. Nếu bạn làm vậy, đèn sẽ được bật sáng.
Tell me why you aren't planning on going to Boston with us.	Nói tôi nghe tại sao anh lại không đi Boston với chúng tôi.
The murderer was convicted and sentenced to life in prison.	Thằng giết người bị xử tù chung thân.
The police found evidence that the man committed the crime.	Cảnh sát đã có trong tay bằng chứng chứng minh người đàn ông đó là hung thủ.
The police found evidence that the man committed the crime.	Cảnh sát đã có trong tay bằng chứng chứng minh người đàn ông đó là thủ phạm.
To my surprise, he got married to a very beautiful actress.	Tôi bất ngờ vì anh ta lại kết hôn với một nữ diễn viên rất xinh đẹp.
Tom asked Mary to tell John that he didn't plan to do that.	Tom đã nhờ Mary nói với John là anh ta không định làm việc đó.
Tom demonstrated the company's newest product to the crowd.	Tom giới thiệu sản phẩm mới nhất của công ty trước công chúng.
Tom doesn't have any idea when Mary is planning to do that.	Tom không có ý tưởng nào khi Mary đang lên kế hoạch để làm điều đó.
Tom doesn't have enough money to buy the computer he wants.	Tom không đủ tiền để mua cái máy tính nó muốn.
Tom has gotten sick three times since he's moved to Boston.	Từ khi chuyển đến Boston sinh sống, Tom đã bị ốm ba lần.
Tom was looking for some people to help him move his piano.	Tom đang tìm người giúp anh ấy chuyển cái piano đi.
Tom wondered how long it would take Mary to finish the job.	Tom thắc mắc không biết mất bao lâu thì Mary hoàn thành công việc.
We have a lot more in common than you probably think we do.	Chúng ta có những điểm chung nhiều hơn nhiều những gì bạn có thể nghĩ.
We have a lot more in common than you probably think we do.	Chúng ta có rất nhiều điểm chung hơn những gì bạn nghĩ.
We have a lot more in common than you probably think we do.	Chúng ta có nhiều điểm chung hơn là bạn tưởng đấy.
Why don't we drive out to the country for a change of pace?	Sao chúng ta không lái xe đến vùng nông thôn để thay đổi không khí một chút nhỉ?
Your mother must've been very beautiful when she was young.	Mẹ bạn chắc hẳn đã rất xinh đẹp khi còn trẻ.
Your mother must've been very beautiful when she was young.	Chắc hẳn khi còn trẻ, mẹ của bạn đã rất xinh đẹp.
Are you planning to tell Tom why you wanted Mary to do that?	Bạn có định nói với Tom tại sao bạn muốn Mary làm điều đó.
George W. Bush was born in the state of Connecticut in 1946.	Geogre W. Bush được sinh ra ở bang Connecticut vào năm 1946.
I knew that Tom wouldn't go there if you didn't go with him.	Tôi đã biết là Tom sẽ không đi đến chỗ đó nếu bạn không đi cùng anh ta.
I remember the year when he began working and earning money.	Tôi nhớ năm anh ấy bắt đầu có công ăn việc làm.
I'm not only studying English, but I'm also studying French.	Tôi không chỉ học tiếng Anh, mà còn học cả tiếng Pháp nữa.
It's so hot that you could cook an egg on the hood of a car.	Nóng đến nỗi mà có thể luộc trứng trên nóc xe.
It's wrong to deceive people, but worse to deceive yourself.	Lừa dối người khác là sai, nhưng lừa dối bản thân thì còn tệ hơn.
One of the children is studying, but the others are playing.	Trong đám trẻ có một đứa đang học. Những đứa còn lại thì đang chơi đùa.
One of the children is studying, but the others are playing.	Trong đám trẻ con, có một đứa đang học. Những đứa còn lại thì đang chơi đùa.
President Jefferson did not want the trade ban to last long.	Tổng thống Jefferson không muốn cấm vận thương mại kéo dài.
She was about to go to bed when someone knocked on the door.	Khi cô ta chuẩn bị đi ngủ thì có người gõ cửa.
She was about to go to bed when someone knocked on the door.	Cô ấy chuẩn bị đi ngủ khi thì có ai đó gõ cửa.
Some things you can't change, no matter how unfair they are.	Có những thứ mà bạn không thể thay đổi, cho dù chúng có bất công thế nào đi chăng nữa.
There seem to be few people who can solve that math problem.	Dường như có vài người có thể giải bài toán.
This city has been increasing in population year after year.	Số dân của thành phố này tăng qua từng năm.
Tom couldn't understand what the purpose of the mission was.	Tom không thể hiểu được mục đích của nhiệm vụ là gì.
Tom is more than my friend, but he's not quite my boyfriend.	Tom với tôi có mối quan hệ trên tình bạn dưới tình yêu.
Tom is more than my friend, but he's not quite my boyfriend.	Tôi và Tom đang ở trong mối quan hệ trên tình bạn dưới tình yêu.
Tom looked in the fridge to see what he could find to drink.	Tom nhìn chằm chằm vào cái tủ lạnh xem có gì uống không.
Tom looked in the fridge to see what he could find to drink.	Tom nhìn chằm chằm vào trong cái tủ lạnh xem có gì để uống không.
When I have a problem I can't figure out, I ask Tom to help.	Mỗi khi tôi gặp chuyện mà không tự giải quyết được, tôi đều nhờ đến Tom.
You must not leave her waiting outside in such cold weather.	Bạn không được để cô ta đợi bên ngoài trong thời tiết lạnh giá thế này.
"What's going on in the cave? I'm curious." "I have no idea."	"Trong hang đang xảy ra chuyện gì vậy? Tôi rất là tò mò." "Tôi cũng không biết nữa."
"What's going on in the cave? I'm curious." "I have no idea."	"Có chuyện gì đang xảy ra bên trong cái hang nhỉ? Tôi tò mò quá!" "Tôi có biết gì đâu."
"What's going on in the cave? I'm curious." "I have no idea."	"Có chuyện gì đang xảy ra bên trong cái hang đó nhỉ? Tôi tò mò quá đi mất!" "Tôi có biết cái gì đâu."
"What's going on in the cave? I'm curious." "I have no idea."	"Có chuyện gì đang xảy ra bên trong cái hang đó nhỉ? Tôi tò mò quá đi mất thôi!" "Tôi không biết gì đâu."
A white-haired man was playing an accordion outside the shop.	Bên ngoài cửa hàng, có một người đàn ông tóc trắng đang chơi đàn ác-coóc-đê-ông.
A white-haired man was playing an accordion outside the shop.	Bên ngoài cửa hàng, có một người đàn ông tóc trắng đang chơi accordion.
He never opens his mouth without complaining about something.	Anh ta hễ mở mồm ra là y như rằng sẽ phàn nàn về điều gì đó.
He never opens his mouth without complaining about something.	Ông ta cứ mở miệng ra là phàn nàn về một cái gì đó.
He practices the piano every day, so he can become a pianist.	Cậu ta tập chơi đàn hàng ngày để trở thành một nghệ sỹ dương cầm.
I bought this book at the book store in front of the station.	Cuốn sách này tôi mua ở hiệu sách trước nhà ga.
I didn't think Tom would be able to convince Mary to do that.	Tôi không nghĩ Tom có thể thuyết phục Mary làm điều đó.
I don't think that Tom knows whether Mary can do that or not.	Tôi không nghĩ là Tom biết Mary có làm được điều đó hay không.
I doubt that Tom would ever consider selling his antique car.	Tôi cho rằng anh Tom sẽ không đời nào tính đến chuyện bán chiếc ô tô cổ điển của mình đâu.
I doubt that Tom would ever consider selling his antique car.	Tôi nghĩ anh Tom sẽ không bao giờ tính đến chuyện bán chiếc xe hơi cổ của mình đâu.
I doubt that Tom would ever consider selling his antique car.	Tôi không cho là Tom sẽ tính đến việc bán cái ô tô cổ của ông ta đâu.
I have no time for that, and besides, I don't have any money.	Tôi không có thời gian làm việc đó, và ngoài ra, tôi không có tiền.
I was wondering if you'd like to join me for dinner tomorrow.	Tôi không biết bạn có thể đi ăn tối với tôi ngày mai được không.
If her nose were a little shorter, she would be quite pretty.	Nếu mũi của cô ngắn hơn một chút, cô sẽ khá đẹp.
Once you get the taste for gambling, it's hard to give it up.	Một khi bạn đã nếm mùi cờ bạc, thì rất khó để từ bỏ nó.
Perhaps the only one here who doesn't want to do that is Tom.	Có lẽ chỉ một người ở đây không muốn làm điều đó là Tom.
She doesn't seem to be able to catch on to what he is saying.	Cô ấy trông chả hiểu anh ấy đang nói gì hết.
The class was too big so we split up into two smaller groups.	Lớp học quá đông nên chúng tôi chia ra thành hai nhóm nhỏ hơn.
The person reading a book on the bench under the tree is Tom.	Người mà đang ở dưới cây đọc sách kia là Tom.
They say that the Vikings discovered America before Columbus.	Người ta nói rằng những người Viking đã khám phá ra châu Mỹ trước Columbus.
This festival is one of the best festivals I've ever been to.	Lễ hội này là một trong những lễ hội tốt nhất mà tôi đã từng tham gia.
Tom and Mary told me that they thought that John was nervous.	Tom và Mary nói với tôi họ nghĩ rằng John rất căng thẳng.
Tom claims that he used to be a professional baseball player.	Tom tự cho mình từng là một cầu thủ bóng chày chuyên nghiệp.
Tom said Mary knew that she might have to do that on her own.	Tom nói rằng Mary biết rằng cô ấy sẽ phải làm điều đó một mình.
Tom said that he'd be able to do that, but he wasn't able to.	Tom nói rằng anh ta có thể làm được điều đó, nhưng anh ta lại không thể làm được.
Tom speaks to his father in French and his mother in English.	Tom nói chuyện với cha bằng tiếng Pháp và nói với mẹ bằng tiếng Anh.
Tom told Mary that everybody except John had already arrived.	Tom nói với Mary rằng mọi người đều đã đến ngoại trừ John.
You're probably too young to understand why Tom had to leave.	Có lẽ bạn quá trẻ để hiểu vì sao Tom đã buộc phải rời đi.
"What's happening in the cave? I'm curious." "I have no idea."	"Có chuyện gì đang xảy ra bên trong cái hang nhỉ? Tôi tò mò quá!" "Tôi có biết gì đâu."
"What's happening in the cave? I'm curious." "I have no idea."	"Có chuyện gì đang xảy ra bên trong cái hang đó nhỉ? Tôi tò mò quá đi mất!" "Tôi có biết cái gì đâu."
"What's happening in the cave? I'm curious." "I have no idea."	"Có chuyện gì đang xảy ra bên trong cái hang đó nhỉ? Tôi tò mò quá đi mất thôi!" "Tôi không biết gì đâu."
Britain began to industrialize in the late eighteenth century.	Nước Anh đã bắt đầu công nghiệp hóa vào cuối thế kỷ XVIII.
Don't make fun of her. She just chugged three bottles of beer.	Đừng trêu cô ấy. Cô ấy vừa nốc cạn ba chai bia đấy.
Don't make fun of her. She just chugged three bottles of beer.	Đừng trêu cô ấy. Cô ấy vừa tu cạn ba chai bia đấy.
He caught sight of a thief attempting to break into the house.	Anh ta bắt gặp một tên cướp đang cố gắng đột nhập vào nhà.
I don't like him very much. To tell you the truth, I hate him.	Tôi không thích anh ấy lắm, trên thực tế tôi ghét anh ấy.
I started to learn English with the aim of becoming a teacher.	Tôi đã bắt đầu học tiếng Anh với mục đích là trở thành một giáo viên.
I started to learn English with the aim of becoming a teacher.	Tôi đã bắt đầu học tiếng Anh để trở thành một giáo viên.
I suddenly got a craving to eat some crisp roast chicken skin.	Tôi bỗng dưng thèm ăn da gà nướng giòn.
I wouldn't have been able to finish the job without your help.	Tôi đã không thể hoàn thành công việc nếu không có sự giúp đỡ của bạn.
I wouldn't have been able to finish the job without your help.	Tôi đã không thể hoàn thành được công việc nếu không nhờ sự giúp đỡ của bạn.
I wouldn't have been able to finish the job without your help.	Tôi đã không thể hoàn thành được công việc nếu không nhờ tới sự giúp đỡ của bạn.
It'll take about thirty minutes to get to the station by taxi.	Đi taxi tới bến xe mất khoảng 30 phút.
It's likely to rain today, so you'd better take your umbrella.	Trời sắp mưa đấy, cậu nên cầm ô đi.
Many offices of the municipal government are in the town hall.	Nhiều văn phòng của chính quyền thành phố nằm trong tòa thị chính.
No matter how hard he tried, he could not get out of the maze.	Cho dù nỗ lực đến bao nhiêu, anh ta không thể thoát ra khỏi mê cung đó.
Speaking of Kyoto, have you ever visited the Kinkakuji Temple?	Nhân tiện nói về Kyoto, bạn đã đi chùa Kinkaku-ji bao giờ chưa?
Speaking of Kyoto, have you ever visited the Kinkakuji Temple?	Nhân tiện nói về Kyoto, bạn đã bao giờ đi chùa Kinkaku-ji chưa?
The Beatles set the world on fire with their incredible music.	The Beatles nhấn chìm cả thế giới trong biển lửa với thứ âm nhạc tuyệt vời của họ.
There are significant differences between those two countries.	Có những khác biệt rõ rệt giữa hai quốc gia.
Tom and three other crew members were injured in the accident.	Tom và ba thành viên khác của đội đã bị thương trong tai nạn.
Tom might want to consider purchasing a new answering machine.	Tom có thể muốn cân nhắc về việc mua một cái máy trả lời tự động mới.
Tom says that he plans on staying in Boston as long as he can.	Tom nói rằng anh ấy lên kế hoạch ở lại Boston miễn là anh ấy có thể.
Tom wants Mary to know that he really doesn't want to do that.	Tom muốn Mary biết rằng anh ấy thực sự không muốn làm điều đó.
Tom wondered whether it would be hard to find a job in Boston.	Tom muốn biết liệu có khó để tìm việc ở Boston hay không.
Walk along the street and turn left at the third intersection.	Đi dọc theo con phố và rẽ trái ở nút giao thứ ba.
Your ideas are old-fashioned and won't work in the real world.	Những ý tưởng của bạn vừa lỗi thời lại không áp dụng được vào đời thực.
Declarations of variables are extremely important in C and C++.	Khai báo biến trong C/C++ vô cùng quan trọng.
Even though Tom still had tears in his eyes, he began to smile.	Mặc dù mắt của Tom vẫn còn nước, nó đã bắt đầu cười.
I had broken my glasses, so that I couldn't see the blackboard.	Tôi đã làm vỡ kính rồi, vì thế tôi không thể thấy được bảng.
I lost my driver's license, so I asked Tom to take me shopping.	Tôi mất bằng lái xe, vì vậy tôi nhờ Tom đưa đi mua sắm.
I think it's time for me to admit that I never cared about you.	Tôi nghĩ đã đến lúc thừa nhận là tôi chưa bao giờ quan tâm đến bạn.
I think that Tom didn't go jogging yesterday, but I'm not sure.	Tôi nghĩ là hôm qua Tom không đi chạy bộ, nhưng mà tôi không chắc.
I thought that Tom said he didn't know how to play the ukulele.	Tôi tưởng Tom nói rằng anh ấy không biết chơi ukulele.
It may take a few weeks to get used to working the night shift.	Chắc phải tốn vài tuần để quen làm việc ca đêm.
Never having seen a mongoose, I do not know what they are like.	Tôi chưa bao giờ thấy một con cầy Măng-gút, cho nên không biết nó trông thế nào.
Nowadays more and more people prefer country life to city life.	Ngày nay, ngày càng có nhiều người trở nên thích cuộc sống ở nông thôn hơn là cuộc sống ở thành phố.
They couldn't decide whether to go to the mountains or the sea.	Họ không thể quyết định được sẽ đi lên núi hay xuống biển.
Those who are suffering from hunger in Africa need urgent help.	Những người chịu nạn đói ở châu Phi cần sự trợ giúp khẩn cấp.
Tom says he doesn't believe Mary really wants to do that again.	Tom nói anh ta không tin rằng Mary thực sự muốn làm điều đó lần nữa.
When I opened the refrigerator, I noticed the meat had spoiled.	Lúc mở tủ lạnh ra, tôi để ý thấy thịt trong tủ lạnh đã thiu rồi.
When Tom heard the doorbell ring, he said, "Who could that be?"	Khi Tom nghe thấy tiếng chuông cửa, anh ấy nói "Có thể là ai vậy nhỉ?"
When we are together, I forget all the unhappy times we've had.	Khi chúng tôi ở bên nhau, tôi quên đi những khoảng thời gian không hạnh phúc.
You're probably too young to understand why we have to do this.	Có lẽ bạn quá trẻ để hiểu vì sao chúng ta phải làm điều này.
You're the only person that I know who has ever visited Boston.	Bạn là người duy nhất mà tôi biết đã từng tới Boston.
I bought a house with the money I inherited from my grandfather.	Tôi đã dùng tiền thừa kế của ông tôi để mua một ngôi nhà.
I bought a house with the money I inherited from my grandfather.	Tôi đã mua một ngôi nhà bằng tiền thừa kế của ông tôi.
I bought a house with the money I inherited from my grandfather.	Tôi đã mua một ngôi nhà bằng tiền thừa kế của ông nội tôi.
I bought a house with the money I inherited from my grandfather.	Tôi đã mua một ngôi nhà bằng tiền thừa kế của ông ngoại tôi.
I didn't know that I was adopted until I was thirteen years old.	Tôi đã không biết mình là con nuôi cho đến khi 13 tuổi.
I need to call my parents and tell them I'll be late for dinner.	Tôi cần gọi bố mẹ để báo họ biết tôi sẽ về ăn tối muộn.
I've decided to live in Australia after I graduate from college.	Sau khi tốt nghiệp đại học, tôi đã quyết định sống ở Úc.
I've decided to live in Australia after I graduate from college.	Sau khi tốt nghiệp đại học xong, tôi đã quyết định là mình sẽ sống ở Úc.
Tom might bleed to death if we don't get him to a hospital soon.	Tom có lẽ đã chảy máu đến chết nếu như chúng tôi không đưa anh ta đến bệnh viện sớm.
We have to get that document back before Tom shows it to anyone.	Chúng ta phải lấy lại tài liệu đó trước khi Tom đưa nó cho bất cứ ai.
You spend too much time worrying about things that don't matter.	Tôi dành quá nhiều thời gian để lo lắng về những thứ không quan trọng.
Can you imagine what our lives would be like without electricity?	Bạn có thể hình dung được cuộc sống sẽ như thế nào nếu không có điện không?
I don't feel like going to the movies. Let's take a walk instead.	Tôi không có hứng đi xem phim, hay là chúng ta đi dạo đi.
I regret not having paid more attention to what the teacher said.	Tôi hối hận vì không chú ý hơn đến những gì mà thày giáo đã nói.
I regret not having paid more attention to what the teacher said.	Tôi hối hận vì không chú ý hơn đến những gì mà cô giáo đã nói.
If I had eaten breakfast this morning, I would not be hungry now.	Nếu tôi có ăn sáng hồi sáng này, giờ thì tôi đã không đói.
In another two weeks you will be able to get out of the hospital.	Trong hai tuần nữa, bạn sẽ có thể ra viện.
In another two weeks you will be able to get out of the hospital.	Bạn sẽ có thể xuất viện trong hai tuần nữa.
It goes without saying that health is more important than wealth.	Chẳng cần phải nói cũng hiểu sức khỏe quan trọng hơn tiền bạc.
Oil has played an important part in the progress of civilization.	Dầu mỏ đã đóng vai trò quan trọng trong sự phát triển của nền văn minh.
Oil has played an important part in the progress of civilization.	Dầu mỏ đã đóng một vai trò quan trọng trong sự phát triển của nền văn minh.
Oil has played an important part in the progress of civilization.	Dầu mỏ đã có vai trò quan trọng trong sự phát triển của nền văn minh.
Oil has played an important part in the progress of civilization.	Dầu mỏ đã có một vai trò quan trọng trong sự phát triển của nền văn minh.
Perhaps we should consider what would happen if we don't do this.	Có lẽ là chúng ta nên suy nghĩ xem điều gì sẽ xảy ra nếu chúng ta không làm điều này.
Perhaps we should consider what would happen if we don't do this.	Có lẽ chúng ta nên suy nghĩ xem điều gì sẽ xảy ra nếu chúng ta không làm chuyện này.
Personally, I think that corporal punishment is a necessary evil.	Cá nhân tôi cho rằng hình phạt thân thể là một nghĩa vụ bắt buộc không thể tránh khỏi.
The advice you find the hardest to take is often the most useful.	Thuốc đắng dã tật.
You're still not convinced that we're telling the truth, are you?	Bạn vẫn không tin là chúng tôi đang nói thật, có đúng không?
